price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
125.00,1.00,0.95,t,Riverside,1,1,1,1,1,98,3.31
120.00,1.00,1.00,f,Mid-Cambridge,2,1,1,1,1,96,1.04
140.00,N/A,N/A,f,East Cambridge,4,1,1,1,1,93,0.11
100.00,1.00,1.00,t,The Port,1,1.5,1,1,1,97,7.04
94.00,1.00,1.00,t,The Port,2,1,1,1,1,96,8.43
129.00,1.00,0.82,t,North Cambridge,4,1.5,1,2,1,100,2.88
200.00,0.90,0.79,t,Mid-Cambridge,2,1,1,1,2,97,0.41
200.00,0.90,0.79,t,Mid-Cambridge,3,1,1,2,2,99,0.35
155.00,0.90,0.79,t,Mid-Cambridge,2,1,0,1,1,96,0.31
115.00,0.90,0.79,t,Mid-Cambridge,2,1,0,1,2,99,0.38
175.00,0.90,0.79,t,Mid-Cambridge,2,1,0,1,2,100,0.46
130.00,0.00,0.27,f,Riverside,1,1,1,1,1,100,0.04
260.00,1.00,1.00,t,Neighborhood Nine,6,2,2,3,4,95,0.74
249.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,93,0.11
209.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.09
109.00,0.86,0.78,t,Mid-Cambridge,1,1,1,1,2,97,1.13
95.00,1.00,0.98,f,East Cambridge,1,2,1,1,1,97,3.39
100.00,1.00,1.00,t,The Port,2,1,1,1,1,96,8.88
290.00,1.00,1.00,t,The Port,6,2,2,3,4,95,1.18
199.00,1.00,1.00,t,The Port,2,1,1,1,2,96,2.02
129.00,1.00,1.00,t,The Port,2,1,1,1,2,95,1.4
395.00,1.00,1.00,f,Cambridgeport,8,3,4,6,4,92,1.46
100.00,1.00,0.62,t,Cambridgeport,2,1,1,1,1,99,1.23
149.00,1.00,1.00,t,The Port,2,1,1,1,2,95,1.58
210.00,N/A,0.30,f,Cambridgeport,3,1,2,2,1,94,0.58
77.00,N/A,1.00,f,Riverside,1,1,1,1,1,99,1.19
89.00,0.75,0.50,f,East Cambridge,1,1,1,1,1,97,0.55
112.00,1.00,0.63,t,Mid-Cambridge,3,1,1,2,1,99,3.48
150.00,1.00,0.97,f,Mid-Cambridge,2,1,1,1,2,100,3.01
109.00,N/A,0.00,f,East Cambridge,1,1,1,1,1,89,0.59
270.00,0.50,0.97,f,West Cambridge,6,1,2,2,4,93,2.15
225.00,0.90,0.99,f,The Port,8,1.5,3,4,8,88,8.08
320.00,N/A,0.48,f,Mid-Cambridge,4,1,1,2,2,78,0.26
85.00,1.00,1.00,t,Mid-Cambridge,2,1,1,1,1,98,4.21
110.00,N/A,0.30,f,Cambridgeport,1,1,1,1,1,98,0.18
200.00,1.00,0.95,t,North Cambridge,4,1,2,3,1,100,0.62
100.00,1.00,1.00,f,Neighborhood Nine,2,1,1,2,2,94,4.53
499.00,0.00,N/A,f,Agassiz,9,3,4,6,7,90,0.04
80.00,N/A,0.30,f,Cambridgeport,2,1,1,0,2,96,0.88
125.00,1.00,1.00,t,Neighborhood Nine,2,1,1,1,1,97,1.58
90.00,1.00,1.00,t,Neighborhood Nine,2,1,1,1,1,97,3.38
149.00,1.00,1.00,t,Agassiz,4,1,2,3,1,99,2.6
110.00,1.00,1.00,t,Cambridgeport,1,1,1,1,1,96,0.47
325.00,1.00,1.00,t,The Port,5,2.5,3,5,1,95,0.56
120.00,1.00,1.00,t,Mid-Cambridge,2,1,1,1,1,95,0.27
154.00,1.00,0.64,t,Mid-Cambridge,4,1.5,1,1,1,98,1.78
90.00,1.00,0.77,t,Mid-Cambridge,2,1,0,1,1,100,0.05
